Designator,Mid X,Mid Y,Rotation,Layer
C1,55,-71.5,0,top
C2,60.5,-55.5,0,top
C3,43.5,-55.5,0,top
C4,48,-66.5,0,top
C5,94.5,-71.5,0,top
C6,140,-71.5,0,top
D1,37.5,-88.4,0,top
D10,87.5,-88.45,0,top
D11,92.5,-82.05,0,top
D12,97.5,-88.5,0,top
D13,107.5,-88.55,0,top
D14,112.5,-82.05,0,top
D15,117.5,-88.45,0,top
D16,122.5,-82.05,0,top
D17,127.5,-88.45,0,top
D18,137.5,-88.45,0,top
D19,142.5,-82.05,0,top
D2,42.5,-82.05,0,top
D20,147.5,-88.45,0,top
D21,152.5,-82.05,0,top
D22,157.5,-88.45,0,top
D23,162.5,-82.05,0,top
D24,167.5,-88.45,0,top
D3,47.5,-88.4,0,top
D4,52.5,-82.05,0,top
D5,57.5,-88.4,0,top
D6,67.5,-88.4,0,top
D7,72.5,-82.05,0,top
D8,77.5,-88.4,0,top
D9,82.5,-82.05,0,top
R1,37.5,-86.75,0,top
R10,87.4875,-86.75,0,top
R11,92.5,-80.35,0,top
R12,97.5,-86.8,0,top
R13,107.5,-86.85,0,top
R14,112.5,-80.35,0,top
R15,117.5,-86.75,0,top
R16,122.5,-80.35,0,top
R17,127.5,-86.75,0,top
R18,137.5,-86.75,0,top
R19,142.5,-80.35,0,top
R2,42.5,-80.35,0,top
R20,147.5,-86.75,0,top
R21,152.5,-80.35,0,top
R22,157.5,-86.75,0,top
R23,162.5,-80.35,0,top
R24,167.5,-86.75,0,top
R25,174,-41.5,90,top
R3,47.5,-86.75,0,top
R4,52.5,-80.35,0,top
R5,57.5,-86.75,0,top
R6,67.5,-86.75,0,top
R7,72.5,-80.35,0,top
R8,77.5,-86.75,0,top
R9,82.5,-80.35,0,top
SW2,94.5,-34.5,0,top
U1,62.9,-71.5,90,top
U3,102.5,-71.55,90,top
U4,148.1,-71.35,90,top
